type,code,content,hsn_code_4_digit,chapter_no,sch,gst_rate
hsn,01001.00.00,"Horses, asses, mules and hinnies, live",1001,1,I,NIL
hsn,01001.11.00,Purebred breeding animals,1001,1,I,NIL
hsn,01001.19.00,Other horses,1001,1,I,NIL
hsn,01001.20.00,"Asses, mules, and hinnies",1001,1,I,NIL
hsn,01001.21.00,Live Horses,1001,1,III,12%
hsn,01001.29.00,Live Horses,1001,1,III,12%
hsn,01002.00.00,"Bovine animals, live",1002,1,I,NIL
hsn,01002.100.00,Purebred breeding animals,1002,1,I,NIL
hsn,01003.00.00,"Swine, live",1003,1,I,NIL
hsn,01003.100.00,Purebred breeding animals,1003,1,I,NIL
hsn,01003.91.00,Weighing less than 50 (110023 lb) each,1003,1,I,NIL
hsn,01003.92.00,Weighing 50 (110023 lb) or more each,1003,1,I,NIL
hsn,01004.00.00,"Sheep and goats, live",1004,1,I,NIL
hsn,01004.100.00,Sheep,1004,1,I,NIL
hsn,01004.20.00,Goats,1004,1,I,NIL
hsn,01005.00.00,"Chickens, ducks, geese, turkeys, and guineas, live",1005,1,I,NIL
hsn,01005.11.00,"Chickens, breeding stock, whether or not purebred: layer-type (egg-type) , broiler-type (meat-type)",1005,1,I,NIL
hsn,01005.19.00,"Turkeys, ducks, geese and guineas",1005,1,I,NIL
hsn,01005.91.00,Chickens,1005,1,I,NIL
hsn,01005.99.00,"Chickens, ducks, geese, turkeys, and guineas, live: Other",1005,1,I,NIL
hsn,01006.00.00,"Animals, live, nesoi nesoi - not elsewhere specified of indicated.",1006,1,I,NIL
hsn,01006.00.00,Rabbits and hares,1006,1,I,NIL
hsn,0201.00.00,"Meat of bovine animals, fresh or chilled",201,2,I,NIL
hsn,0201.00.00,"Meat of bovine animals,frozen",201,2,III,12%
hsn,0201.100.00,"Carcasses and half-carcasses, veal, other - chilled or fresh",201,2,I,NIL
hsn,0201.100.00,"Carcasses and half-carcasses, veal, other - frozen",201,2,III,12%
hsn,0201.20.00,Other cuts with bone in: processed & other - chilled or fresh,201,2,I,NIL
hsn,0201.20.00,Other cuts with bone in: processed & other - frozen,201,2,III,12%
hsn,0201.30.00,Boneless: processed & other chilled or fresh,201,2,I,NIL
hsn,0201.30.00,Boneless: processed & other forzen,201,2,III,12%
hsn,0202.00.00,"Meat of bovine animals, frozen",202,2,III,12%
hsn,0202.100.00,"Carcasses and half-carcasses, veal & other",202,2,III,12%
hsn,0202.20.00,Meat of bovine animals with bone in (frozen),202,2,III,12%
hsn,0202.30.00,"Boneless, processed frozen",202,2,III,12%
hsn,0203.00.00,"Meat of swine (pork), fresh, chilled",203,2,I,NIL
hsn,0203.00.00,"Meat of swine (pork), frozen",203,2,III,12%
hsn,0203.11.00,Carcasses and half-carcasses - fresh or chilled,203,2,I,NIL
hsn,0203.12.00,"Hams, shoulders and cuts thereof, with bone in processed - fresh or chilled",203,2,I,NIL
hsn,0203.19.00,"Other, proces & other - fresh or chilled",203,2,I,NIL
hsn,0203.21.00,Carcasses and half-carcasses - frozen,203,2,III,12%
hsn,0203.22.00,"Hams, shoulders and cuts thereof, with bone in processed - frozen",203,2,III,12%
hsn,0203.29.00,"Other, processed & other",203,2,III,12%
hsn,0204.00.00,"Meat of sheep or goats, fresh, chilled or frozen",204,2,III,12%
hsn,0204.100.00,"Carcasses and half-carcasses of lamb, fresh or chilled other meat of sheep, fresh or chilled",204,2,I,NIL
hsn,0204.21.00,Carcasses and half-carcasses fresh or chilled,204,2,I,NIL
hsn,0204.22.00,Other cuts with bone in - fresh or chilled,204,2,I,NIL
hsn,0204.23.00,Boneless - fresh or chilled,204,2,I,NIL
hsn,0204.30.00,"Carcasses and half-carcasses of lamb, frozen other meat of sheep, frozen",204,2,III,12%
hsn,0204.41.00,Carcasses and half-carcasses - frozen,204,2,III,12%
hsn,0204.42.00,Other cuts with bone in - frozen,204,2,III,12%
hsn,0204.43.00,Boneless - frozen,204,2,III,12%
hsn,0204.50.00,Meat of goats - frozen,204,2,III,12%
hsn,0205.00.00,"Meat of horses, asses, mules, hinnies - fresh and chilled",205,2,I,NIL
hsn,0205.00.00,"Meat of horses, asses, mules, hinnies - frozen",205,2,III,12%
hsn,0206.00.00,"Edible offal, bovine animals, swine, sheep, goat, horses, asses, mules or hinnies – fresh and chilled",206,2,I,NIL
hsn,0206.00.00,"Edible offal, bovine animals, swine, sheep, goat, horses, asses, mules or hinnies - frozen",206,2,III,12%
hsn,0206.100.00,"Ediblke offal of bovine animals, fresh or chilled of bovine animals - fresh and chilled",206,2,I,NIL
hsn,0206.21.00,Tongues - fresh or chilled,206,2,I,NIL
hsn,0206.22.00,Livers - fresh and chilled,206,2,I,NIL
hsn,0206.29.00,Other edible offal of bovine animals  fresh or chilled,206,2,I,NIL
hsn,0206.30.00,"Of swine (pork), fresh or chilled of swine (pork), fresh and chilled",206,2,I,NIL
hsn,0206.41.00,Edible offal of swine Livers - frozen,206,2,III,12%
hsn,0206.49.00,Other edible offal of swine (frozen),206,2,III,12%
hsn,0206.80.100,"Edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies – fresh and chilled",206,2,I,NIL
hsn,0206.80.90,"Other, edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies -
fresh and chilled",206,2,I,NIL
hsn,0206.90.100,"Edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - frozen",206,2,III,12%
hsn,0206.90.90,"Other, edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies -
frozen",206,2,III,12%
hsn,0207.00.00,"Meat & edible offal of poultry, fresh and chilled",207,2,I,NIL
hsn,0207.00.00,"Meat & edible offal of poultry, frozen",207,2,III,12%
